idx,risk,return,obj,status,w_A1,w_A2,w_A3,w_A4,w_A5
0,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
1,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
2,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
3,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
4,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
5,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
6,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
7,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
8,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
9,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
10,0.10004693881023213,0.007621616929992234,0.005004694982649169,solved,0.27726341028817597,0.12788936330107342,0.21607470898077957,0.2776474215839761,0.10112509584599481
11,0.10150852079440413,0.04705445407921994,0.005151989896933988,solved,0.2723910640922823,0.1500960712033658,0.24805875020468757,0.28234172510768324,0.047112389391981126
12,0.10840698890617917,0.09625991911674259,0.0058760376218522275,solved,0.23610608591413404,0.20350220789583473,0.3222973368708482,0.23809436931918299,2.082382763540806e-23
13,0.13549308452810527,0.14546538415426524,0.00917918797747014,solved,0.1296733965664911,0.3165840514721859,0.4762584060994375,0.07748414586188557,2.30994149502162e-24
